id,year,name,difficulty
29,2014,2014 VCU Open,9
30,2013,2013 VCU Open,9
19,2014,2014 PACE NSC,5
23,2012,2012 PACE NSC,5
26,2013,2013 PACE NSC,5
92,2015,2015 PACE NSC,5
8,2014,2014 NASAT,7
22,2013,2013 NASAT,7
65,2014,2014 NASAT ,7
68,2012,2012 NASAT,7
96,2015,2015 NASAT ,7
3,2012,2012 ACF Regionals,7
12,2014,2014 ACF Regionals,7
15,2013,2013 ACF Regionals,7
16,2014,2014 ACF Regionals 2014,7
25,2012,2012 ACF Regionals ,7
27,2015,2015 ACF Regionals,7
28,2015,2015 ACF Regionals ,7
2,2013,2013 ACF Fall,6
4,2011,2011 ACF Fall,6
7,2012,2012 ACF Fall,6
24,2011,2011 ACF Fall ,6
33,2014,2014 ACF Fall,6
55,2009,2009 ACF Fall,6
58,2008,2008 ACF Fall ,6
73,2010,2010 2010 ACF Fall,6
84,2008,2008 ACF Fall,6
42,2012,2012 MUT,6
75,2015,2015 MUT,6
93,2014,2014 MUT,6
5,2012,2012 Prison Bowl,4
10,2013,2013 Prison Bowl,4
59,2014,2014 Prison Bowl,4
60,2012,2012 Prison Bowl ,4
45,2013,2013 VCU Closed ,8
76,2013,2013 VCU Closed,8
46,2014,2014 Penn Bowl,7
49,2013,2013 Penn Bowl,7
50,2012,2012 Penn Bowl,7
37,2013,2013 Collegiate Novice,6
18,2012,2012 Collegiate Novice,6
14,2014,2014 SUBMIT,7
54,2013,2013 Terrapin,7
144,2009,2009 FICHTE,8
31,2012,2012 ACF Nationals,8
61,2009,2009 ACF Nationals,8
85,2010,2010 ACF Nationals,8
38,2014,2014 Cane Ridge Revival,8
9,2011,2011 VCU Open,8
20,2014,2014 PADAWAN,7
43,2014,2014 Padawan,7
66,2013,2013 Michigan Fall Tournament,7
67,2014,2014 Michigan Fall Tournament,7
87,2015,2015 STIMPY,7
83,2012,2012 2012 Penn-ance,7
11,2013,2013 DRAGOON,7
139,2010,2010 TJ NAREN,3
17,2013,2013 Dragoon,7
47,2014,2014 DEES,7
48,2012,2012 Penn-ance,7
53,2013,2013 Western Invitational Tournament,7
72,2012,2012 QUARK,7
1,2012,2012 LIST (Ladue Invitational Spring Tournament),3
52,2014,2014 ICCS,6
80,2011,2011 MAGNI,7
112,2009,2009 Chipola Lit + Fine Arts,7
121,2010,2010 Delta Burke,6
39,2011,2011 Delta Burke,6
81,2013,2013 Brookwood Invitational Scholars Bowl,3
143,2011,2011 St. Anselms and Torrey Pines,3
79,2012,2012 BARGE,7
140,2009,2009 DAFT,3
109,2010,2010 Fall Kickoff Tournament,2
111,2010,2010 GDS Ben Cooper Memorial,3
69,2013,2013 GSAC,3
110,2010,2010 Fall Novice,2
88,2011,2011 Missiles of October,7
120,2010,2010 ACF Novice,6
21,2014,2014 Masonic,3
70,2014,2014 GSAC,3
13,2013,2013 LIST III,3
95,2015,2015 BHSAT,4
129,2010,2010 NTSS,3
64,2014,2014 BELLOCO,3
57,2011,2011 BHSAT,4
148,2010,2010 VCU Open (Saturday),9
158,2010,2010 Minnesota Open,9
177,2009,2009 Minnesota Open KLEE Fine Arts,9
118,2011,2011 PACE NSC,5
151,2010,2010 PACE NSC,5
166,2008,2008 PACE NSC,5
184,2009,2009 PACE NSC,5
134,2009,2009 HFT,4
145,2008,2008 HFT,4
124,2010,2010 EFT,6
117,2011,2011 NASAT,7
133,2010,2010 NASAT,7
102,2011,2011 ACF Regionals,7
131,2010,2010 ACF Regionals,7
181,2009,2009 ACF Regionals,7
123,2010,2010 ACF Fall,6
116,2011,2011 MUT,6
132,2010,2010 MUT,6
169,2009,2009 MUT,6
119,2011,2011 Prison Bowl,4
126,2010,2010 Prison Bowl,4
188,2009,2009 Prison Bowl,4
98,2015,2015 Penn Bowl,7
125,2010,2010 Penn Bowl,7
163,2009,2009 HSAPQ Tournament 10,3
182,2017,2017 FRENCH,9
232,2009,2009 ACF Winter ,7
191,2008,2008 Gaddis I,9
261,2015,2015 Geography Monstrosity,9
180,2008,2008 Chitin,3
255,2016,2016 MLK,7
260,2016,2016 Geography Monstrosity,9
242,2007,2007 The Experiment,9
212,2012,2012 Illinois Fall Tournament,7
154,2011,2011 Terrapin Invitational,7
210,2008,2008 FICHTE,8
101,2011,2011 ACF Nationals,8
171,2016,2016 ACF Nationals,8
174,2010,2010 Geography Monstrosity 2,9
227,2015,2015 George Oppen,9
233,2005,2005 Teitler Myth Singles,9
179,2009,2009 Fall Kickoff Tournament,2
100,2010,2010 Maggie Walker GSAC,3
167,2010,2010 Harvard International,9
168,2010,2010 VCU Open (Sunday),9
262,2014,2014 Geography Monstrosity,9
263,2013,2013 Geography Monstrosity,9
162,2009,2009 From Here To Eternity,6
239,2013,2013 JAMES,3
187,2014,2014 Gorilla Lit,9
238,2014,2014 Delta Burke,6
157,2010,2010 Collaborative MS Tournament,1
203,2011,2011 Collaborative MS Tournament,1
206,2013,2013 Collaborative MS Tournament,1
205,2012,2012 Collaborative MS Tournament,1
99,2016,2016 PACE NSC,5
209,2016,2016 MYSTERIUM,7
189,2009,2009 THUNDER,7
190,2009,2009 U. of Georgia CCC,7
247,2013,2013 Delta Burke,6
122,2011,2011 HSAPQ National History Bowl,4
248,2012,2012 Delta Burke,6
266,2009,2009 Geography Monstrosity,9
149,2009,2009 BATE,3
161,2009,2009 NTV,3
214,2013,2013 NTSS,3
147,2010,2010 THUNDER II,7
152,2010,2010 T-Party,7
159,2010,2010 Princeton Buzzerfest,7
170,2010,2010 Sun n Fun,7
175,2010,2010 MELD,7
192,2008,2008 NNT,3
193,2008,2008 NTV,3
172,2009,2009 Fall Novice,2
153,2011,2011 SACK,9
186,2009,2009 Mahfouz Memorial Lit,9
267,2012,2012 ANFORTAS,9
217,2014,2014 College History Bowl,8
195,2008,2008 QuAC I,3
142,2009,2009 MW GSAC XVII,3
183,2009,2009 RMP Fest,9
196,2008,2008 RMP Fest,9
235,2011,2011 Illinois Wissenschaftslehre,9
244,2012,2012 RAVE,3
237,2014,2014 New Trier Scobol Solo,3
211,2014,2014 VCU Open ,9
252,2015,2015 NASAT,7
254,2016,2016 NASAT,7
197,2007,2007 ACF Regionals,7
198,2006,2006 ACF Regionals,7
216,2008,2008 ACF Regionals,7
215,2014,2014 ACF Fall ,6
245,2015,2015 ACF Fall,6
272,2016,2016 ACF Fall,6
201,2013,2013 MUT,6
278,2016,2016 MUT,6
281,2008,2008 MUT,6
194,2008,2008 Prison Bowl,4
282,2011,2011 Penn Bowl,7
284,2016,2016 Penn Bowl,7
207,2011,2011 Collegiate Novice,6
258,2012,2012 YMIR,9
89,2016,2016 ACF Regionals,7
91,2016,2016 ACF Regionals ,7
51,2011,2011 2011 Minnesota Open,9
71,2011,2011 Minnesota Open,9
82,2015,2015 VCU Open,9
94,2012,2012 Minnesota Open,9
231,2009,2009 VCU Open,9
249,2015,2015 Missouri Open,9
253,2016,2016 BHSAT,4
322,2016,2016 Christmas Present,9
330,2016,2016 A Culture of Improvement,9
297,2009,2009 Gaddis II,9
280,2016,2016 EFT,6
271,2009,2009 The Experiment II,9
285,2015,2015 VICO,9
200,2014,2014 ACF Nationals,8
218,2015,2015 ACF Nationals,8
219,2008,2008 ACF Nationals,8
283,2013,2013 Arrabal,9
316,2017,2017 Fine Arts Common Links,9
240,2017,2017 PACE NSC,5
273,2011,2011 Cheyne American History,7
311,2016,2016 A Bit of Lit,3
288,2017,2017 (This) Tournament is a Crime,9
326,2017,2017 Math Monstrosity,9
314,2017,2017 JAKOB,8
328,2017,2017 Sivakumar Day Inter-Nationals,7
325,2016,2016 CLEAR II,9
302,2013,2013 Schindler's Lit,7
303,2012,2012 WELD,7
313,2015,2015 Claude Shannon Memorial Tournament,9
304,2015,2015 RILKE,9
292,2012,2012 KABO,7
305,2017,2017 MASSOLIT,7
274,2012,2012 Cheyne American History,7
275,2014,2014 Cheyne American History People,7
276,2013,2013 Cheyne American History,7
277,2014,2014 Cheyne American Thought,7
289,2011,2011 Cheyne 1980s American History,7
335,2015,2015 We Have Never Been Modern,9
287,2015,2015 Delta Burke,6
293,2011,2011 Guerrilla at ICT,9
299,2012,2012 College History Bowl,9
295,2012,2012 Peaceful Resolution,7
301,2014,2014 Mavis Gallant Memorial,7
310,2009,2009 Tyrone Slothrop Literature Singles,9
298,2010,2010 ANGST,9
319,2010,2010 Julius Civilis Classics Tournament,9
329,2010,2010 Wild Kingdom,9
291,2010,2010 Guerrilla at ICT,8
312,2011,2011 The Bob Loblaw Law Bowl,9
317,2010,2010 BELFAST Arts,9
246,2015,2015 Prison Bowl VIII,4
208,2014,2014 LIST IV,3
224,2012,2012 Maggie Walker GSAC,3
223,2011,2011 Maggie Walker GSAC,3
225,2013,2013 Maggie Walker GSAC,3
220,2012,2012 BHSAT,4
221,2013,2013 BHSAT,4
222,2014,2014 BHSAT,4
229,2012,2012 SCOP Novice,2
228,2011,2011 SCOP Novice,2
226,2010,2010 SCOP Novice,2
290,2011,2011 Illinois Open,9
332,2009,2009 Minnesota Open Lit,9
40,2012,2012 Chicago Open,9
41,2013,2013 Chicago Open,9
63,2014,2014 Chicago Open,9
103,2011,2011 Chicago Open,9
104,2011,2011 Chicago Open History,9
128,2010,2010 Chicago Open,9
146,2010,2010 Chicago Open Arts,9
150,2009,2009 Chicago Open Literature,9
160,2010,2010 Chicago Open Literature,9
173,2008,2008 Chicago Open Literature,9
269,2016,2016 Chicago Open,9
270,2015,2015 Chicago Open,9
296,2009,2009 Chicago Open,9
300,2017,2017 Chicago Open,9
307,2015,2015 Chicago Open Visual Arts,9
334,2015,2015 Chicago Open History,9
318,2016,2016 Listory,8
113,2009,2009 HSAPQ 4Q1,3
135,2009,2009 HSAPQ 4Q2,3
156,2009,2009 HSAPQ Tournament 11,3
308,2013,2013 Angels in the Architecture,8
309,2015,2015 SHEIKH,8
136,2009,2009 HSAPQ Tournament 8,3
141,2009,2009 HSAPQ Tournament 9,3
178,2008,2008 HSAPQ 4Q 1,3
164,2008,2008 HSAPQ ACF 1,3
114,2008,2008 HSAPQ ACF 2,3
176,2008,2008 HSAPQ ACF 3,3
115,2008,2008 HSAPQ NSC 1,5
165,2008,2008 HSAPQ NSC 2,5
336,2012,2012 Harvard Fall Tournament,4
294,2016,"2016 ""stanford housewrite""",8
105,2011,2011 HSAPQ Colonia 2,3
130,2011,2011 HSAPQ Tournament 15,3
155,2009,2009 HSAPQ NASAT Tryout Set,3
107,2011,2011 HSAPQ Tournament 16,3
106,2011,2011 HSAPQ Tournament 17,3
138,2011,2011 HSAPQ VHSL Regionals,3
108,2011,2011 HSAPQ VHSL Regular Season,3
127,2011,2011 HSAPQ VHSL States,3
137,2011,2011 HSAPQ VHSL Districts,3
62,2009,2009 ACF Winter,7
97,2010,2010 ACF Winter,7
250,2014,2014 SCOP Novice,2
321,2017,2017 Naveed Bork Memorial Tournament,9
286,2016,2016 Terrapin,7
315,2017,2017 Letras,9
32,2012,2012 ACF Nationals ,8
34,2013,2013 ACF Nationals ,8
36,2013,2013 ACF Nationals,8
230,2013,2013 SCOP Novice,2
337,2016,2016 HFT XI,4
259,2017,2017 Geography Monstrosity,9
256,2017,2017 ACF Regionals,7
306,2017,2017 Jordaens Visual Arts,9
185,2017,2017 ACF Nationals,8
342,2017,2017 It's Lit,9
264,2012,2012 Geography Monstrosity,9
265,2011,2011 Geography Monstrosity,9
320,2016,2016 WAO,8
324,2017,2017 Scattergories,9
341,2016,2016 Delta Burke,6
346,2017,2017 NASAT,7
343,2016,2016 WHAQ I,2
344,2017,2017 XENOPHON,7
345,2016,2016 Scobol Solo,3
279,2017,2017 EMT,7
348,2017,2017 Prison Bowl X,4
350,2015,2015 GSAC XXIII,3
351,2015,2015 HFT X,4
352,2015,2015 BASK,3
353,2015,2015 Maryland Fall,4
354,2015,2015 BISB (Brookwood Invitational Scholars' Bowl),3
349,2017,2017 LIST (Ladue Invitational Spring Tournament) VI,3
355,2017,2017 BHSAT,3
357,2016,GRAPHIC,9
358,2017,2017 ACF Fall,6
359,2013,Scobol Solo,3
360,2013,2013 Scobol Solo,3
257,2016,2016 SCOP MS 6,1
361,2017,2017 Penn Bowl,7
362,2014,Lederberg Memorial Science Tournament 2: Daughter Cell,9
363,2017,GRAB BAG,9
364,2018,2018 ACF Regionals,7
365,2017,2017 Early Fall Tournament (EFT),6
366,2017,2017 WHAQ II,3
367,2017,2017 RMBCT,3
368,2017,2017 HFT XII,4
369,2018,2018 CMST,8
370,2018,2018 FACTS,3
371,2018,2018 SMT,6
268,2015,2015 SCOP MS 5,1
372,2017,2017 GSAC XXV,4
373,2018,2018 IMSAnity 5,5
374,2018,2018 Chicago Open,9
375,2018,2018 Montgomery Blair Academic Tournament (MBAT),3
376,2018,2018 PACE NSC,5
377,2018,2018 ACF Nationals,8
378,2017,2017 WAO II,8
379,2018,2018 NASAT,7
380,2018,2018 Historature,8
381,2017,2017 Philly Cheesteak,3
382,2018,2018 Great Lakes Regional Academic Championship (GLRAC),2
383,2018,Words and Objects,8
384,2018,2018 Cambridge Open,7
385,2018,FILM,8
386,2018,2018 HORROR 1,9
387,2018,2018 Penn Bowl,7
388,2018,WORLDSTAR,9
389,2018,2018 BHSAT,4
390,2018,2018 Chicago Open Trash,9
391,2017,2017 History Bee Nationals,5